User_ID,Game_Type,Model_Type,Num_Samples,Genuine_Accuracy,Impostor_Accuracy,Overall_Accuracy,Num_Impostor_IDs
47,forklift_simulator,RandomForest,9,1,0.0,0.5,0
47,forklift_simulator,RandomForest,10,1,0.0,0.5,0
48,forklift_simulator,RandomForest,1,1,1.0,1.0,11
48,forklift_simulator,RandomForest,2,1,1.0,1.0,4
48,forklift_simulator,RandomForest,3,1,1.0,1.0,2
48,forklift_simulator,RandomForest,4,1,1.0,1.0,2
48,forklift_simulator,RandomForest,5,1,1.0,1.0,2
48,forklift_simulator,RandomForest,6,1,1.0,1.0,1
48,forklift_simulator,RandomForest,7,1,0.0,0.5,0
48,forklift_simulator,RandomForest,8,1,0.0,0.5,0
48,forklift_simulator,RandomForest,9,1,0.0,0.5,0
48,forklift_simulator,RandomForest,10,1,0.0,0.5,0
49,forklift_simulator,RandomForest,1,1,1.0,1.0,10
49,forklift_simulator,RandomForest,2,1,1.0,1.0,4
49,forklift_simulator,RandomForest,3,1,1.0,1.0,2
49,forklift_simulator,RandomForest,4,1,1.0,1.0,1
49,forklift_simulator,RandomForest,5,1,1.0,1.0,1
49,forklift_simulator,RandomForest,6,1,1.0,1.0,1
49,forklift_simulator,RandomForest,7,1,1.0,1.0,1
49,forklift_simulator,RandomForest,8,1,1.0,1.0,1
49,forklift_simulator,RandomForest,9,1,0.0,0.5,0
49,forklift_simulator,RandomForest,10,1,0.0,0.5,0
50,forklift_simulator,RandomForest,1,1,1.0,1.0,11
50,forklift_simulator,RandomForest,2,1,1.0,1.0,4
50,forklift_simulator,RandomForest,3,1,1.0,1.0,3
50,forklift_simulator,RandomForest,4,1,1.0,1.0,1
50,forklift_simulator,RandomForest,5,1,1.0,1.0,1
50,forklift_simulator,RandomForest,6,1,1.0,1.0,1
50,forklift_simulator,RandomForest,7,1,0.0,0.5,0
50,forklift_simulator,RandomForest,8,1,0.0,0.5,0
50,forklift_simulator,RandomForest,9,1,0.0,0.5,0
50,forklift_simulator,RandomForest,10,1,0.0,0.5,0
51,forklift_simulator,RandomForest,1,1,1.0,1.0,13
51,forklift_simulator,RandomForest,2,1,1.0,1.0,2
51,forklift_simulator,RandomForest,3,1,1.0,1.0,1
51,forklift_simulator,RandomForest,4,1,1.0,1.0,1
51,forklift_simulator,RandomForest,5,1,0.0,0.5,0
51,forklift_simulator,RandomForest,6,1,0.0,0.5,0
51,forklift_simulator,RandomForest,7,1,0.0,0.5,0
51,forklift_simulator,RandomForest,8,1,0.0,0.5,0
51,forklift_simulator,RandomForest,9,1,0.0,0.5,0
51,forklift_simulator,RandomForest,10,1,0.0,0.5,0
52,forklift_simulator,RandomForest,1,1,1.0,1.0,12
52,forklift_simulator,RandomForest,2,1,1.0,1.0,2
52,forklift_simulator,RandomForest,3,1,1.0,1.0,2
52,forklift_simulator,RandomForest,4,1,1.0,1.0,1
52,forklift_simulator,RandomForest,5,1,1.0,1.0,1
52,forklift_simulator,RandomForest,6,1,1.0,1.0,1
52,forklift_simulator,RandomForest,7,1,0.0,0.5,0
52,forklift_simulator,RandomForest,8,1,0.0,0.5,0
52,forklift_simulator,RandomForest,9,1,0.0,0.5,0
52,forklift_simulator,RandomForest,10,1,0.0,0.5,0
53,forklift_simulator,RandomForest,1,1,1.0,1.0,13
53,forklift_simulator,RandomForest,2,1,1.0,1.0,3
53,forklift_simulator,RandomForest,3,1,1.0,1.0,2
53,forklift_simulator,RandomForest,4,1,1.0,1.0,1
53,forklift_simulator,RandomForest,5,1,0.0,0.5,0
53,forklift_simulator,RandomForest,6,1,0.0,0.5,0
53,forklift_simulator,RandomForest,7,1,0.0,0.5,0
53,forklift_simulator,RandomForest,8,1,0.0,0.5,0
53,forklift_simulator,RandomForest,9,1,0.0,0.5,0
53,forklift_simulator,RandomForest,10,1,0.0,0.5,0
54,forklift_simulator,RandomForest,1,1,1.0,1.0,11
54,forklift_simulator,RandomForest,2,1,1.0,1.0,5
54,forklift_simulator,RandomForest,3,1,1.0,1.0,2
54,forklift_simulator,RandomForest,4,1,1.0,1.0,1
54,forklift_simulator,RandomForest,5,1,1.0,1.0,1
54,forklift_simulator,RandomForest,6,1,0.0,0.5,0
54,forklift_simulator,RandomForest,7,1,0.0,0.5,0
54,forklift_simulator,RandomForest,8,1,0.0,0.5,0
54,forklift_simulator,RandomForest,9,1,0.0,0.5,0
54,forklift_simulator,RandomForest,10,1,0.0,0.5,0
55,forklift_simulator,RandomForest,1,1,1.0,1.0,13
55,forklift_simulator,RandomForest,2,1,1.0,1.0,2
55,forklift_simulator,RandomForest,3,1,1.0,1.0,2
55,forklift_simulator,RandomForest,4,1,1.0,1.0,2
